# dotnet: 10.0.12 aot=True
# settings: iterations 1000, warm-up 1000, batch 100; wake-up 5 s at 500 Hz
test,size_bytes,n,min_ns,median_ns,p99_ns,max_ns,missed
"timer overhead",,1000,1375,1417,1459,5834,
"Clock.NowNs",,1000,1544,1562,1829,3235,
"Publish NO_NOTIFY",16,1000,1957,1960,2208,3548,
"Publish",16,1000,5430,5446,6332,8373,
"Read",16,1000,1032,1053,2035,19585,
"TryRead(Span)",16,1000,870,893,1130,5695,
"TryPeek",16,1000,880,884,1121,3178,
"Publish NO_NOTIFY",256,1000,2032,2040,2298,3933,
"Publish",256,1000,5518,5547,6426,57140,
"Read",256,1000,1661,1696,4886,13203,
"TryRead(Span)",256,1000,1040,1042,1266,1532,
"TryPeek",256,1000,859,867,1092,3097,
"Publish NO_NOTIFY",4096,1000,4564,4747,5006,5694,
"Publish",4096,1000,8506,8551,9048,10335,
"Read",4096,1000,10228,10366,15168,44172,
"TryRead(Span)",4096,1000,3425,3467,3964,16092,
"TryPeek",4096,1000,859,884,1125,2350,
"Wait wake-up",16,2499,68000,187625,197917,1273291,1
