# dotnet: 10.0.12 aot=True
# settings: iterations 1000, warm-up 1000, batch 100; wake-up 5 s at 500 Hz
test,size_bytes,n,min_ns,median_ns,p99_ns,max_ns,missed
"timer overhead",,1000,1375,1417,1417,7500,
"Clock.NowNs",,1000,1535,1544,1832,3482,
"Publish NO_NOTIFY",16,1000,1938,1962,2281,24177,
"Publish",16,1000,5658,6260,6593,9092,
"Read",16,1000,1023,1046,2095,56991,
"TryRead(Span)",16,1000,852,860,1091,2880,
"TryPeek",16,1000,875,876,1092,1296,
"Publish NO_NOTIFY",256,1000,2007,2018,2252,3155,
"Publish",256,1000,5570,6152,6466,7448,
"Read",256,1000,1559,1604,4990,12402,
"TryRead(Span)",256,1000,1091,1096,1318,1618,
"TryPeek",256,1000,888,913,1154,5623,
"Publish NO_NOTIFY",4096,1000,4382,4402,7431,14152,
"Publish",4096,1000,7918,8538,9423,36782,
"Read",4096,1000,10006,10311,15049,18508,
"TryRead(Span)",4096,1000,4401,4455,4804,10300,
"TryPeek",4096,1000,904,906,1135,1460,
"Wait wake-up",16,2500,69250,190250,328709,1008375,0
