# dotnet: 10.0.12 aot=True
# settings: iterations 1000, warm-up 1000, batch 100; wake-up 5 s at 500 Hz
test,size_bytes,n,min_ns,median_ns,p99_ns,max_ns,missed
"timer overhead",,1000,1416,1458,1459,7000,
"Clock.NowNs",,1000,1574,1582,1838,3608,
"Publish NO_NOTIFY",16,1000,2004,2007,2304,22805,
"Publish",16,1000,5471,5521,6409,8200,
"Read",16,1000,1029,1058,2024,70281,
"TryRead(Span)",16,1000,855,871,1096,2698,
"TryPeek",16,1000,858,861,1077,1286,
"Publish NO_NOTIFY",256,1000,2070,2101,2364,3422,
"Publish",256,1000,5580,5595,6475,10621,
"Read",256,1000,1662,1694,4971,13201,
"TryRead(Span)",256,1000,1072,1086,1335,2401,
"TryPeek",256,1000,853,861,1090,1371,
"Publish NO_NOTIFY",4096,1000,4578,4788,5050,5924,
"Publish",4096,1000,8532,8579,9472,25074,
"Read",4096,1000,10196,10366,15182,18288,
"TryRead(Span)",4096,1000,3481,3525,3827,16644,
"TryPeek",4096,1000,852,877,1115,2384,
"Wait wake-up",16,2499,67584,187875,254125,806666,1
