# python: 3.13.5
# settings: iterations 1000, warm-up 1000, batch 100; wake-up 5.0 s at 500 Hz
test,size_bytes,n,min_ns,median_ns,p99_ns,max_ns,missed
"timer overhead",,1000,6000,6209,6833,124583,
"python call (empty lambda)",,1000,516,518,740,1488,
"os.getppid",,1000,2002,2341,2680,22066,
"ctypes getppid",,1000,5825,6105,6623,10286,
"now_ns",,1000,8479,8607,8968,10010,
"publish NO_NOTIFY",16,1000,38485,38935,40266,61158,
"publish",16,1000,45281,45508,47168,69244,
"read",16,1000,72186,72646,90121,247121,
"read_into",16,1000,80684,81484,83912,144934,
"peek",16,1000,51102,51255,53398,91415,
"publish NO_NOTIFY",256,1000,38963,39350,40863,70862,
"publish",256,1000,45855,45959,47649,77381,
"read",256,1000,73509,74142,79250,242381,
"read_into",256,1000,81098,82103,85360,129430,
"peek",256,1000,51554,52083,53680,96093,
"publish NO_NOTIFY",4096,1000,43963,44196,45716,85622,
"publish",4096,1000,50404,50538,52583,94664,
"read",4096,1000,84720,85277,93270,290438,
"read_into",4096,1000,85905,87198,91222,133449,
"peek",4096,1000,51490,51707,53174,95864,
"wait wake-up",16,2500,322875,699750,802875,4819875,0
