# python: 3.13.5
# settings: iterations 1000, warm-up 1000, batch 100; wake-up 5.0 s at 500 Hz
test,size_bytes,n,min_ns,median_ns,p99_ns,max_ns,missed
"timer overhead",,1000,5750,6084,6708,116250,
"python call (empty lambda)",,1000,370,375,509,1052,
"os.getppid",,1000,2305,2342,2620,3833,
"ctypes getppid",,1000,5915,6327,6754,12925,
"now_ns",,1000,8497,8635,9138,48254,
"publish NO_NOTIFY",16,1000,38616,39128,40548,71972,
"publish",16,1000,45354,45568,46900,77008,
"read",16,1000,72460,72942,101886,129800,
"read_into",16,1000,81287,81798,97525,260866,
"peek",16,1000,51305,51462,53456,95512,
"publish NO_NOTIFY",256,1000,39404,39739,41647,81094,
"publish",256,1000,46267,46378,48483,70725,
"read",256,1000,73830,74435,76404,121309,
"read_into",256,1000,81769,82547,89985,282341,
"peek",256,1000,51761,52292,54022,96283,
"publish NO_NOTIFY",4096,1000,43976,44094,45872,78515,
"publish",4096,1000,50413,50560,53252,95768,
"read",4096,1000,85191,85757,88158,135041,
"read_into",4096,1000,86332,87621,96629,291198,
"peek",4096,1000,51742,51954,53391,94721,
"wait wake-up",16,2498,324125,648500,661583,2136375,2
